genes,lfc_liu2020,qval_liu2020
AT4G30400,1.313428966,0.000169317
AT5G67100,1.31292533,2.83E-11
AT4G23790,1.309141648,2.25E-11
AT4G38050,1.306463829,1.80E-08
AT2G42510,1.302927852,9.81E-06
AT2G36660,1.300066384,0.020750455
AT4G12730,1.298264475,1.50E-24
AT1G52290,1.296223308,0.004277094
AT3G59890,1.288208438,6.82E-13
AT4G27590,1.287952486,0.000411003
AT2G24170,1.281803145,8.40E-08
AT4G23200,1.279876643,2.81E-06
AT1G58160,1.2785052,0.017308572
AT2G26710,1.278234686,1.60E-05
AT3G56870,1.274208759,0.000615346
AT3G16240,1.271628644,2.08E-18
AT5G15770,1.271613864,0.001623694
AT1G73570,1.271016383,3.18E-05
AT3G54920,1.264028177,3.06E-19
AT1G33800,1.262101748,4.41E-05
AT3G51150,1.262045226,1.07E-11
AT2G41190,1.260321844,1.85E-08
AT2G45900,1.256799172,3.92E-07
AT2G25770,1.256548286,0.000514552
AT3G27170,1.256300611,1.51E-05
AT1G21520,1.253757238,4.38E-05
AT1G13170,1.251859744,9.20E-27
AT3G25500,1.250391364,5.61E-23
AT5G64630,1.245353562,0.000427673
AT5G44020,1.245169676,2.26E-34
AT1G27120,1.24315322,1.14E-06
ATCG00760,1.242410243,0.035481977
AT1G19350,1.241387551,5.75E-31
AT3G18630,1.238114062,0.0020861
AT2G44580,1.237887581,0.002756771
AT5G16000,1.234469892,2.93E-10
AT1G62440,1.233906663,1.24E-06
AT2G40550,1.232576845,5.01E-08
AT3G45230,1.230881129,6.14E-10
AT5G18690,1.226415501,0.015327853
AT1G06080,1.225401406,7.22E-08
AT4G23160,1.224385497,0.027228409
AT5G59010,1.223760897,8.05E-15
AT2G25000,1.21854263,0.004974495
AT2G37640,1.217959532,2.15E-21
AT3G18730,1.21436877,0.000237868
AT1G04430,1.21278954,2.82E-35
AT5G15580,1.211542688,5.71E-32
AT4G18030,1.211138801,5.75E-20
AT4G19120,1.209879617,3.79E-22
AT3G61280,1.205960029,0.002004399
AT1G74710,1.205046164,1.13E-12
AT1G12090,1.204475903,1.35E-15
AT5G59020,1.203283231,0.023852808
AT3G16180,1.196885924,4.81E-17
AT2G35130,1.193138152,3.29E-05
AT4G16870,1.192768515,2.50E-14
AT2G32540,1.19269775,3.53E-09
AT3G28160,1.190842107,2.70E-11
AT5G42110,1.190619136,1.83E-06
AT3G49970,1.19051448,0.000521682
AT4G03190,1.189396156,7.99E-22
AT5G67370,1.186220474,0.000229456
AT5G59740,1.184691632,1.24E-05
AT4G24710,1.181290349,0.000154693
AT5G06390,1.180641157,2.25E-18
AT4G13493,1.179565165,7.00E-05
AT2G17230,1.174413005,6.81E-24
AT5G03050,1.173642557,1.94E-06
AT5G43160,1.172351347,8.88E-05
AT5G13400,1.170371814,2.96E-12
AT4G35880,1.169685518,1.66E-06
AT2G04450,1.167136326,0.005111757
AT4G16920,1.162572375,0.001155531
AT2G23130,1.160521016,2.46E-16
AT3G02820,1.159753247,0.001579579
AT1G63230,1.157341858,0.004765023
AT5G11460,1.156731017,0.000173257
AT4G00020,1.156605757,7.28E-05
AT5G44010,1.151296673,0.000546269
AT5G62630,1.151285938,6.53E-06
AT1G49000,1.147815388,0.001343618
AT1G11730,1.146510554,0.027075735
AT1G45130,1.144302012,4.10E-10
AT2G45180,1.140022942,2.88E-09
AT5G60920,1.138058424,8.95E-39
AT5G03360,1.1367397,2.41E-13
AT3G59550,1.135627627,0.03869489
AT2G41090,1.133682785,6.02E-15
AT1G48330,1.13097548,0.009835467
AT5G55230,1.128546654,3.24E-20
AT5G64395,1.127735855,0.028248686
AT5G49170,1.127673851,5.01E-07
AT5G61000,1.126778431,0.042590712
AT2G18300,1.122772258,1.18E-23
AT3G62630,1.119221497,1.55E-08
AT5G08185,1.1183014,6.82E-11
AT1G22910,1.118080565,1.27E-20
AT1G77330,1.114321308,0.005644094
AT3G20440,1.11257766,1.56E-10
AT2G46380,1.111863946,0.00612967
AT5G43700,1.109684499,8.31E-15
AT2G34300,1.108489981,7.30E-19
AT4G24760,1.108233706,6.07E-24
AT1G51460,1.107136812,0.000712879
AT5G04160,1.101735268,1.91E-11
AT2G47440,1.101528121,8.67E-17
AT2G42380,1.101141777,4.54E-05
AT4G09900,1.100605721,1.27E-08
AT1G52700,1.099693999,0.032280854
AT2G14900,1.099264247,3.94E-19
AT4G39830,1.098141317,4.95E-06
AT5G19060,1.097793929,0.014687653
AT2G31730,1.097473827,4.29E-08
AT3G05890,1.096438117,0.001378661
AT3G21190,1.096079204,1.10E-10
AT1G19835,1.094458515,5.48E-26
AT2G12400,1.093660317,0.004533331
AT3G57040,1.092913606,1.41E-07
AT5G15120,1.092870826,0.003721995
AT5G10390,1.092453533,0.03195727
AT2G28570,1.089972536,1.59E-10
AT5G20850,1.089154059,0.033184011
AT5G58480,1.088647404,5.99E-05
AT3G13600,1.087396608,0.008520582
AT1G78865,1.086864711,0.011389149
AT1G75680,1.085979691,1.71E-24
AT3G09730,1.08555316,0.00648501
AT1G49430,1.085416222,1.86E-08
AT1G01610,1.084466699,1.39E-10
AT3G18110,1.084089957,3.70E-09
AT2G22830,1.083198241,6.62E-10
AT1G14380,1.080248325,2.15E-14
AT3G07210,1.079962265,1.12E-10
AT5G40380,1.078663356,1.31E-09
AT4G03140,1.07832493,4.01E-09
AT1G30690,1.077122171,5.48E-13
AT5G42860,1.076168426,2.54E-05
AT1G13470,1.076061094,0.029786382
AT1G50750,1.074384543,0.015847188
AT5G51550,1.072403157,4.91E-11
AT3G59310,1.072117442,3.79E-06
AT4G02100,1.070372609,4.40E-05
AT4G23130,1.070229935,3.47E-09
AT1G53730,1.068981453,6.69E-24
AT1G08840,1.067418575,1.30E-06
AT4G31590,1.0661101,4.30E-11
AT1G34065,1.065852482,3.38E-06
AT5G15050,1.065444507,4.52E-10
AT2G47930,1.065277964,0.000156971
AT2G33330,1.064718923,2.57E-10
AT1G03300,1.06366582,4.72E-05
AT4G37240,1.063407473,0.009849682
AT1G78060,1.061905558,7.20E-10
AT4G37925,1.057264498,0.002907007
AT4G21820,1.055819186,0.020942053
AT1G72480,1.054416066,1.01E-12
AT5G38420,1.053646271,2.00E-09
AT4G09810,1.05213093,6.67E-05
AT1G62590,1.050080414,0.002232343
AT2G28410,1.049325809,0.016756742
AT1G21250,1.048636102,1.23E-06
AT2G36690,1.047831245,0.000434067
AT5G24200,1.046049095,0.008884933
AT4G24510,1.044500395,2.61E-10
AT2G34150,1.043704784,0.001773353
AT2G37380,1.042191267,0.034563919
AT1G76110,1.042140531,3.47E-07
AT5G46570,1.037175794,1.85E-06
AT2G42870,1.036757582,5.38E-12
AT3G12110,1.036522354,4.73E-05
AT3G29375,1.036492541,3.62E-05
AT5G28913,1.036471221,0.002545282
AT1G49130,1.035028687,4.45E-06
AT3G07510,1.033022941,5.07E-08
AT4G33130,1.031914126,0.004482611
AT1G60790,1.03017585,1.51E-09
AT1G78170,1.028410652,5.09E-06
AT1G21880,1.025476197,4.15E-09
AT5G50335,1.024876731,1.47E-15
AT1G01390,1.024834501,0.007995251
AT5G48450,1.024632031,0.000556046
AT5G01620,1.022234357,1.81E-09
AT1G27950,1.021679236,3.21E-11
AT4G17770,1.021123755,4.88E-05
AT2G43340,1.01705663,2.18E-09
AT4G10770,1.016109991,6.93E-05
AT3G04850,1.016066489,0.009107234
AT5G04060,1.015133415,1.77E-10
AT4G09160,1.014451824,8.36E-08
AT1G47840,1.0124526,0.00548276
AT1G63260,1.012060216,3.77E-19
AT5G40890,1.011839091,2.79E-18
AT4G00400,1.011104906,1.80E-07
AT3G05600,1.010341593,0.000133089
AT5G25610,1.009530052,9.45E-12
AT2G25480,1.009526367,6.47E-08
AT3G13560,1.008710785,0.000265305
AT3G15480,1.008279073,2.72E-27
AT4G16340,1.007561783,1.01E-19
AT4G12620,1.006643874,0.001777754
AT3G58820,1.006125228,0.003516654
AT2G45470,1.005647965,0.000897557
AT3G05910,1.00557906,2.13E-20
AT2G37510,1.004556912,0.000139051
AT5G19770,1.003922926,9.69E-25
AT3G25900,1.00380753,9.95E-09
AT5G48660,1.001541808,6.82E-06
AT4G35730,0.997618294,1.02E-10
AT1G19150,0.997508107,0.000853389
AT5G43990,0.996434776,0.012279236
AT4G36570,0.996185506,0.008259775
AT5G09820,0.994481306,0.000212261
AT5G54200,0.994337702,2.36E-13
AT5G02760,0.993037098,0.0004896
AT1G70280,0.993011643,6.46E-15
AT2G35880,0.991393378,6.84E-28
AT1G03010,0.990000775,3.38E-09
AT1G54580,0.98991189,3.49E-16
AT1G66940,0.987898716,5.29E-11
AT4G21850,0.987557943,0.004548371
AT3G62110,0.987277874,3.39E-11
AT5G15350,0.986253397,3.34E-14
AT3G54790,0.985891805,3.23E-06
AT3G61610,0.98437407,0.004324124
AT2G19670,0.98376483,0.000323029
AT1G52910,0.982293087,0.002454991
AT1G54120,0.981855714,0.009861817
AT4G29400,0.979295292,5.19E-07
AT5G12260,0.979192461,3.33E-13
AT5G18670,0.978259276,4.27E-14
AT2G26910,0.976360583,1.33E-20
AT3G57780,0.975495429,2.10E-06
AT1G27880,0.974704842,0.02861111
AT2G29680,0.974208518,0.0040352
AT4G00820,0.973348417,1.77E-05
AT3G49720,0.972905449,1.03E-11
AT3G13437,0.972239498,0.003942695
AT5G42530,0.972082556,0.000219599
AT1G04050,0.971276987,0.002030198
AT4G18760,0.970464021,9.36E-05
AT2G32160,0.970064957,0.004994016
AT1G45110,0.968988939,0.000741069
AT3G09780,0.967785117,1.29E-05
AT4G27430,0.965491681,3.04E-18
AT1G78940,0.964570326,0.000146696
AT1G72790,0.963214121,5.13E-14
AT1G14280,0.962480487,7.19E-17
AT4G38960,0.962450494,0.005639788
AT2G22170,0.961221709,5.97E-08
AT1G79820,0.958923126,1.92E-07
AT1G66970,0.958273264,3.12E-08
AT3G45860,0.958266114,0.019191927
AT4G28900,0.957955651,0.000119674
AT4G23280,0.957792922,4.74E-06
AT1G72970,0.957776054,6.05E-11
AT4G35470,0.957659015,3.86E-18
AT2G46430,0.957030244,0.000676339
AT1G10220,0.955943346,0.000244421
AT1G17620,0.953986282,2.51E-05
AT1G51940,0.950717853,1.86E-08
AT4G23180,0.950640242,9.70E-05
AT4G25260,0.949218956,2.60E-09
AT1G12500,0.948021741,4.23E-13
AT1G22630,0.945553223,0.000575494
AT4G36270,0.944986075,0.041124029
AT5G14450,0.944430914,3.03E-09
AT1G78260,0.942505264,4.25E-05
AT2G20240,0.941501128,2.05E-05
AT4G17350,0.940375824,0.002560898
AT2G19620,0.940244612,3.15E-05
AT5G66610,0.940203891,1.94E-08
AT5G12080,0.938841573,2.03E-07
AT2G21210,0.938393303,0.000244175
AT4G31800,0.938061637,0.016903251
AT5G49740,0.93792624,3.48E-05
AT2G43360,0.936791009,7.05E-07
AT1G73830,0.935526557,4.30E-07
AT4G13840,0.934627402,7.95E-06
AT5G55480,0.933614946,1.03E-07
AT3G53760,0.931356625,1.93E-08
AT2G28050,0.93077808,0.000205218
AT2G02780,0.928152197,8.94E-07
AT3G60440,0.927819157,3.99E-05
AT3G30720,0.927322004,0.049164406
AT3G06450,0.926515951,2.25E-18
AT5G54380,0.925833387,6.44E-19
AT1G59720,0.925449471,0.039864607
AT1G23480,0.923267481,1.05E-09
AT1G17920,0.923028226,0.004034007
AT1G29470,0.920726412,5.09E-09
AT4G35130,0.920148138,0.030603212
AT5G11890,0.919623065,1.09E-07
AT2G32690,0.919016327,4.91E-10
AT2G28310,0.91820941,2.12E-08
AT1G61190,0.916695151,6.15E-07
AT3G16250,0.915689142,0.000277566
AT4G23230,0.915220406,7.35E-06
AT1G24090,0.913258306,0.003729617
AT3G63030,0.912895903,3.91E-07
AT3G54000,0.911142548,0.004307592
AT5G20635,0.910916712,0.016639961
AT5G25130,0.910778448,0.04025154
AT5G07610,0.910513651,0.001190463
AT1G19950,0.909932862,0.004517925
AT5G49960,0.90903812,1.29E-08
AT4G27900,0.908859393,1.48E-09
AT5G07110,0.907390684,0.000158385
AT5G52900,0.906099098,4.11E-13
AT1G54180,0.905555033,0.001226868
AT1G75240,0.904985422,1.91E-06
AT4G00690,0.903874186,0.030465862
AT1G27480,0.901867297,0.006072858
AT1G67040,0.901560071,0.004307592
AT4G39350,0.900635318,5.37E-17
AT2G31270,0.900271744,0.000145581
AT3G02930,0.900098545,8.30E-06
AT5G67200,0.899847791,0.008074175
AT5G10560,0.899688039,3.81E-15
AT3G55360,0.898273428,1.10E-08
AT2G05920,0.89826769,7.45E-07
AT1G01690,0.897231149,0.000121966
AT5G66330,0.895165971,0.034424447
AT1G34245,0.893988065,0.018367097
AT5G16690,0.892307038,0.001062017
AT5G02010,0.890821131,7.21E-05
AT1G80080,0.889947258,1.27E-08
AT1G78730,0.889350717,0.000288624
AT3G19300,0.889134285,0.015781272
AT5G53210,0.888508384,0.003438925
AT3G61830,0.886664216,0.000266782
AT4G34138,0.886073706,3.94E-20
AT1G74690,0.885708306,7.10E-18
AT4G34260,0.885146428,1.93E-10
AT3G44940,0.88510069,0.021665506
AT4G34980,0.885015899,2.99E-13
AT4G28100,0.884549322,0.001446323
AT2G47485,0.884543413,0.001121685
AT1G50732,0.884175298,0.010290686
AT5G40150,0.884027196,0.041208131
AT4G21870,0.883362784,0.00405778
AT2G28950,0.883199512,9.92E-05
AT1G28010,0.88300057,4.69E-12
AT3G47450,0.881840895,3.43E-13
AT1G49630,0.881467932,2.07E-10
AT4G40000,0.88103788,0.001474492
AT5G62280,0.880708136,3.54E-06
AT5G23210,0.880575277,0.00034363
AT5G46270,0.8803676,7.73E-05
AT2G42570,0.879765868,0.004503152
AT3G56160,0.879664895,1.11E-06
AT4G03415,0.879231385,1.71E-12
AT4G28780,0.878129257,0.031775054
AT1G27210,0.877852474,1.50E-08
AT3G23810,0.877087042,3.00E-11
AT1G05950,0.876193228,0.009920513
AT5G23420,0.874099066,0.000584507
AT3G56370,0.872918659,5.61E-06
AT3G44020,0.87192044,0.03116004
AT3G60290,0.868881816,3.82E-07
AT2G04570,0.86783309,1.87E-05
AT2G25200,0.867161541,8.92E-12
AT4G30860,0.865565654,0.021514458
AT4G26520,0.865519846,0.000874815
AT5G51545,0.863388827,3.32E-07
AT4G02290,0.862940377,0.007493949
AT2G46440,0.861524292,0.003911784
